0,ground_truth
11a535acfd78a802e1990e0f89655dd1c9aa8410a21781440951912e523d16ae,1
Sourceforge_6375.exe,0
Sourceforge_1717.exe,0
DYifKtF806I7JjkLHZgP,1
softonic136.exe,0
5eaac8257cc286a4d6464f130e32a927911987fd73b163f61eb83c057fe2e8f9,1
5c1315d6f71a1adf337b81390fac12566fcfb1467205fdeb3fd6e0999598c813,1
7333f0ca9d0a67178ccb77e01d155daf56506884f74f224e63e4b5a5d89e9c55,1
gIONM8E513LYstAjyzWl,1
0e543d67435f462fed04e6074699d57b988e01fb3ba3bc6d3d89c46092758f3c,1
Sourceforge_6986.exe,0
Sourceforge_5434.exe,0
141514d574a3b1cd343d4d72c066ca86504bdf7276dbff1b7375a935ed2007f4,1
Sourceforge_4696.exe,0
CNET_212343.exe,0
Sourceforge_4987.exe,0
192289eec2f9069fcedf7961b9912e55aa6a1c52c5b4575a96103d53fbfab919,1
Sourceforge_7415.exe,0
c510225d0ff4e7b8fc14242f1e9aa6f742c4d54ef41401375ba7717a909857c8,1
aac4e6f0ef0361952ff32048a2b8f50e033e044082d7822a27a5625f98638a34,1
CNET_100336.exe,0
Sourceforge_4956.exe,0
c005e846f7bcc68aacf32229d8fdd72dc1497ef723c4cc4e7fded020324804c5,1
Sourceforge_4593.exe,0
a8b48eb122452a3dd22fa5081128157f918eba61a6c65c8cc08b8be85d2843a2,1
Dz6QkSVB4ax1siyK8fGP,1
Sourceforge_4150.exe,0
6fQ8rLxmDzpNIGvAl3Ho,1
Bpf5rdhvyHN1AKsl60O7,1
HiSpfPqjrLZOE6h7JNau,1
CNET_248338.exe,0
fe714e0c9393bc3bba151c62ef0050b857e70653da44ba5895a4e72165461808,1
5c05fb547895bf9a0fc2b3c386816275ba7d426d6fe1a13bfd56c6b0e81de0fe,1
CNET_27242.exe,0
euAfyh0HkFiaKndptmsJ,1
1342.exe,0
56d6addb96bfc24f6d71bd009b0a5fb62108d05ad3f150fb9c451517ba016e3e,1
fKR9B0IXciszvOyw1E2N,1
Sourceforge_3296.exe,0
Etxjz6KuaSJNY7TeBA2L,1
CNET_241248.exe,0
0162bd2d2668a414cc16a33c8240dbcb2cb10e41b99d01f6362789be9537e25e,1
EMaDXLFSlr9TyW68JNOz,1
4y09ZDr5jWIsNSfkFHzO,1
Sourceforge_6475.exe,0
d548d7753334dfe422bfdb4c5c174cb25edde387144d8b9104191456e3633f11,1
Sourceforge_3198.exe,0
616c106c24c507ee6db0bb1197c28e23b0286ec14d6e351eea5b0e57e3669387,1
2eb5d9d125bede2086d8252795011dd35b042bc5ac6a4f5b7047fbcf4706af7b,1
b3gxz6Za90hDwpY5oFiC,1
cd3be6b30368205262a380008c6b89228819271ce4781e4d9f2e2fdd22e89b64,1
fDLvOn85VGbX6BNsTtaY,1
Sourceforge_5043.exe,0
bzNc3YXrp5PA2DBEn1wg,1
a1u9v0bUgGqk5nBwQ2tm,1
Sourceforge_3774.exe,0
Grcdm4uKwz2C3DNUxkWa,1
Sourceforge_5034.exe,0
4e25241d71d16781b652aa3f163c3bfaed1c783e95c54ef7bc9f9dd39100a13a,1
CNET_104985.exe,0
1f7ac70822efa18781fccf424805630ac9a6f0489806c428720262c3f293f164,1
572733582ed2076416e035a1d670d12d984c8d56a1b94d9b32e2c78b8fd1f9a7,0
d91dd8900ca572c8e3963668f3489377316b1953f75b2282fbfe352be716d5ac,1
GwC0nmxTeD8vO1gHXQBd,1
73cc003581414c5ff23aa05f9693967ca2bc825e733290cfd00f78bdacb7b2b4,1
bd2d3bfd5b27328ccff86add9fc359c87e7ead3bd8e534cdacf8c97fca0f0989,1
aISJkXUny0dojZKYNBAP,1
Ckg3TiIXWEdF7msvqPu0,1
HPONF4CalK7MzhrRtewg,1
CNET_38721.exe,0
Sourceforge_3842.exe,0
c4b60c9023537e68309c20194ad83a2a9a6a87cf29200aaed7a6c8ad708f250c,1
7RVrih9gAL1FodIKNTc2,1
134.exe,0
CNET_104579.exe,0
Sourceforge_6908.exe,0
502720dafe1146da3ab322fe3348fe1a18e5989c32bc1b320ff0466b751659d6,1
191c181e10bee447f0ffbe00cf37152e85647c1bfe2d42d1cd282dc0a5069174,1
bc2a7f94ebd9a57186b3129d282619a40b013ac6b773bd42b24cbed3e9ece265,1
Sourceforge_3350.exe,0
Sourceforge_5930.exe,0
20d068025c8f353624b922c850650d3b3d65ca7291867ca234d5a5cae0fa1311,1
Sourceforge_1213.exe,0
Sourceforge_7637.exe,0
DtU6IK3jnvYXV8xTOiQw,1
383.exe,0
CNET_234999.exe,0
BxhpgtQbsyuqY06HJ2OT,1
ea4vnMoYFy8DO3BEKbwt,1
Sourceforge_2871.exe,0
Windows_23.exe,0
CNET_103219.exe,0
516e43b21feca8ad2922a2f389331d601a805dc1cf3c41b5a85ca049b294fade,1
60gR3qnjoYPf4rpbCOSk,1
803ca9261152be9829f8c742687445591d07ca42fa6b79982711fab309433b0a,1
IdgVGZmcO08sl6Ai9bEf,1
GDtNoxZ3CKvYhcHQukrm,1
E6VX0GAxMWQaRjsCHt7Y,1
CNET_224293.exe,0
a63b696ffbd6fc6ad315a772947caaa30af0b6242db7d2918f4248f2a3d389fa,1
Sourceforge_7413.exe,0
jLrNDsQ3yo2kHORVSuIX,1
Sourceforge_5786.exe,0
CNET_245382.exe,0
Sourceforge_5414.exe,0
Dyo450WAKck1JLUfbQIE,1
89UZDSqlnhazBOCJrk3t,1
Sourceforge_6278.exe,0
CNET_263307.exe,0
cBDez1Q0g2lyLGRkudaW,1
EY5VL0ldsmef3GJu9zIv,1
2dqWPx6MhJZoY37vL1gT,1
009f9f2a1e4323946815158ca07e0eed253321df8b90e00e7bc1bef2ab84f3df,1
Sourceforge_4322.exe,0
Sourceforge_2438.exe,0
1OHzGWXBTlpyVsIPK3kj,1
CcwQrZSGsdo8RaKemnUF,1
7GitZvML2g4FwRHINqsT,1
gJQLAK983BsIvVwCHXRD,1
JaO8p2qFXjiNARcbIvGH,1
juYnlMbR7SmyqDIPzZXO,1
er9bQchA80iFN3lsDPmM,1
C5zRPoaif3nALEsq6vJk,1
2249.exe,0
3393e07833021b794f07c1944cab719ae4fea0e45e7ed69a17989c1c57eac395,1
ca7b91abae8b3db112576247950edfacb93781aee161db2e952c4aee2bc6dd3c,1
96c07de02692ee3cccd871933cfb7a9d1bbbd37e0024b5aea8ee67895a989b08,1
k2uRGpoUItiWrTga9ysQ,1
Sourceforge_2040.exe,0
2530.exe,0
890.exe,0
1715.exe,0
357f8eeadcda7e0cc3ef953d2ce32db38826914dc227ec8ba58a6c8d5ce3e632,1
2mxzRY0nGXtkb45lDrqC,1
adHqeXxjBJVt9KD7obTZ,1
1910.exe,0
0bf23604942908b7ee2fef85bd2b0e9a43874144d5bcdcdb52ed78a284be0138,1
Sourceforge_4300.exe,0
Sourceforge_251.exe,0
CNET_231444.exe,0
25fff2261c8d7a8bae341e6924711b15af6bdea854c4e71a1f6dd30cc02a97d9,1
3LNmCgSGtiMFrKJl2H5d,1
E5LXhtYsZMWfA4ebSVUk,1
CNET_219236.exe,0
752.exe,0
1902.exe,0
6482ad7a94a645c1ddffa5f00e6f0487270918fa2e90a57ad2d620a1a90bb642,1
Sourceforge_2873.exe,0
f12eab86a863456f2d5baf4dfdc1f52d659380054bcc0e15519a295259a27141,1
Sourceforge_4866.exe,0
Sourceforge_160.exe,0
Sourceforge_7395.exe,0
kI2PQoudeFEDYOBTliUf,1
CNET_10223.exe,0
an7uVbkw5MAPJf8oX9GQ,1
9EbqOQ5sCRtSVzg3DyMn,1
8528a3682f8dbcc1931edcf0cc9956c12138604fa38997c10e1f523df366523b,1
a16a8418acdf01c9cc8d88e65c1f7f3a6f16a347f601ba1b755777cd56060ca1,1
258.exe,0
CNET_260094.exe,0
1v5SAIfct9srqh7p8JHL,1
367.exe,0
685e6d2b97d2dcb5ec7fd1cc5caa5bf1d290b75857cf6c6c993415a4083da181,1
CNET_29925.exe,0
CNET_244870.exe,0
b9d2bc9624f1e81b007fd1d89170294eb6eb29c779f83f4e75576a0fa3fa421a,1
GChmH1Jo4OXUYR85E90Q,1
Sourceforge_2622.exe,0
Sourceforge_4159.exe,0
3gkZ4wV0vUx8haYiMuq1,1
J8pdGbHyWis9ToawOIMA,1
CNET_253769.exe,0
4KAdMvSOYoB90Hp1Wnac,1
A6RirTm0V4X5OcaS87e2,1
901.exe,0
2089.exe,0
ESWN3jbO4QaLp2HDuIzg,1
Sourceforge_1429.exe,0
eKxCrcXGDFVfRYtA0JMg,1
B2DfZHwl6SrTynJVKCoR,1
26a16cea51b587fb83780b224f3d71e7b891297f4bb29f29aae4a18c6bbc67ac,1
933775bb48a1d249aa7d2649e98ec09b8fe17f33c34d39bebda0087bc3eb135d,1
ECniUjgm5uspabfKSQAT,1
6deb101bfa040602bf9638615635660778a68cf89cf71ab69c9e856962d35c4f,1
DIvw3k58KBnXTocLSzbZ,1
2gXZWDA3VeTPr1I7pjYa,1
c4b8b5182d2f541f981204e3eaf0d9f609f9563045d98a152a11d4d3e1d36c17,1
CNET_245408.exe,0
37Og0blzE4WYpZ5c9LMN,1
Sourceforge_7494.exe,0
btfJ456hq8T3vU9DZjsg,1
1085.exe,0
Sourceforge_2679.exe,0
Sourceforge_5371.exe,0
ca7e478664477a25736422c06cb1d092f38974c1211d11a4c50c361465d38aa5,1
CNET_245640.exe,0
fi7s1LPgDHIF85aAkEjY,1
htDPZ1Bi0IAayWJYwOUN,1
1913.exe,0
bXWLaKzxlviEY1Gt7cjw,1
77.exe,0
Sourceforge_6131.exe,0
8cb6cb4de6fb0800beaf815565ba5fa4e00ad1d7d8d63f7bb91588630b8dfce7,1
CNET_13277.exe,0
Sourceforge_1005.exe,0
c036c06c7c299130b4a54ae4583803c4e95f556ce9ed3a049ecf394483ea4e35,1
