.    window stride  test_set  mal-benign-ratio  embed     mode    acc  precision  recall     F1
101    256    256      1.00              1.00   32.0  mallstm  0.995      0.995   0.995  0.995
100    256    256      1.00              0.99   32.0  mallstm  0.996      0.987   0.987  0.987
99     256    256      1.00              0.98   32.0  mallstm  0.994      0.975   0.975  0.975
98     256    256      1.00              0.97   32.0  mallstm  0.997      0.963   0.963  0.963
97     256    256      1.00              0.96   32.0  mallstm  0.994      0.952   0.952  0.952
96     256    256      1.00              0.95   32.0  mallstm  0.995      0.945   0.945  0.945
95     256    256      1.00              0.94   32.0  mallstm  0.996      0.941   0.941  0.941
94     256    256      1.00              0.93   32.0  mallstm  0.997      0.925   0.925  0.925
93     256    256      1.00              0.92   32.0  mallstm  0.997      0.911   0.911  0.911
92     256    256      1.00              0.91   32.0  mallstm  0.995      0.902   0.902  0.902
91     256    256      1.00              0.90   32.0  mallstm  0.996      0.903   0.903  0.903
90     256    256      1.00              0.89   32.0  mallstm  0.995      0.884   0.884  0.884
89     256    256      1.00              0.88   32.0  mallstm  0.995      0.879   0.879  0.879
88     256    256      1.00              0.87   32.0  mallstm  0.996      0.867   0.867  0.867
87     256    256      1.00              0.86   32.0  mallstm  0.996      0.861   0.861  0.861
86     256    256      1.00              0.85   32.0  mallstm  0.996      0.848   0.848  0.848
85     256    256      1.00              0.84   32.0  mallstm  0.995      0.836   0.836  0.836
84     256    256      1.00              0.83   32.0  mallstm  0.997      0.834   0.834  0.834
83     256    256      1.00              0.82   32.0  mallstm  0.996      0.814   0.814  0.814
82     256    256      1.00              0.81   32.0  mallstm  0.995      0.804   0.804  0.804
81     256    256      1.00              0.80   32.0  mallstm  0.996      0.801   0.801  0.801
80     256    256      1.00              0.79   32.0  mallstm  0.996      0.786   0.786  0.786
79     256    256      1.00              0.78   32.0  mallstm  0.997      0.781   0.781  0.781
78     256    256      1.00              0.77   32.0  mallstm  0.997      0.769   0.769  0.769
77     256    256      1.00              0.76   32.0  mallstm  0.997      0.752   0.752  0.752
76     256    256      1.00              0.75   32.0  mallstm  0.996      0.750   0.750  0.750
75     256    256      1.00              0.74   32.0  mallstm  0.995      0.734   0.734  0.734
74     256    256      1.00              0.73   32.0  mallstm  0.997      0.732   0.732  0.732
73     256    256      1.00              0.72   32.0  mallstm  0.996      0.732   0.732  0.732
72     256    256      1.00              0.71   32.0  mallstm  0.995      0.704   0.704  0.704
71     256    256      1.00              0.70   32.0  mallstm  0.996      0.691   0.691  0.691
70     256    256      1.00              0.69   32.0  mallstm  0.995      0.691   0.691  0.691
69     256    256      1.00              0.68   32.0  mallstm  0.996      0.676   0.676  0.676
68     256    256      1.00              0.67   32.0  mallstm  0.996      0.658   0.658  0.658
67     256    256      1.00              0.66   32.0  mallstm  0.998      0.660   0.660  0.660
66     256    256      1.00              0.65   32.0  mallstm  0.996      0.647   0.647  0.647
65     256    256      1.00              0.64   32.0  mallstm  0.996      0.639   0.639  0.639
64     256    256      1.00              0.63   32.0  mallstm  0.997      0.635   0.635  0.635
63     256    256      1.00              0.62   32.0  mallstm  0.997      0.625   0.625  0.625
62     256    256      1.00              0.61   32.0  mallstm  0.996      0.600   0.600  0.600
61     256    256      1.00              0.60   32.0  mallstm  0.996      0.589   0.589  0.589
60     256    256      1.00              0.59   32.0  mallstm  0.996      0.583   0.583  0.583
59     256    256      1.00              0.58   32.0  mallstm  0.997      0.576   0.576  0.576
58     256    256      1.00              0.57   32.0  mallstm  0.995      0.562   0.562  0.562
57     256    256      1.00              0.56   32.0  mallstm  0.996      0.555   0.555  0.555
56     256    256      1.00              0.55   32.0  mallstm  0.996      0.553   0.553  0.553
55     256    256      1.00              0.54   32.0  mallstm  0.998      0.546   0.546  0.546
54     256    256      1.00              0.53   32.0  mallstm  0.996      0.518   0.518  0.518
53     256    256      1.00              0.52   32.0  mallstm  0.997      0.523   0.523  0.523
52     256    256      1.00              0.51   32.0  mallstm  0.996      0.511   0.511  0.511
0      256    256      0.25              0.50   32.0  mallstm  0.992      0.492   0.492  0.492
51     256    256      1.00              0.50   32.0  mallstm  0.997      0.490   0.490  0.490
50     256    256      1.00              0.49   32.0  mallstm  0.997      0.493   0.493  0.493
49     256    256      1.00              0.48   32.0  mallstm  0.996      0.484   0.484  0.484
48     256    256      1.00              0.47   32.0  mallstm  0.995      0.465   0.465  0.465
47     256    256      1.00              0.46   32.0  mallstm  0.997      0.444   0.444  0.444
46     256    256      1.00              0.45   32.0  mallstm  0.997      0.451   0.451  0.451
45     256    256      1.00              0.44   32.0  mallstm  0.997      0.444   0.444  0.444
44     256    256      1.00              0.43   32.0  mallstm  0.996      0.419   0.419  0.419
43     256    256      1.00              0.42   32.0  mallstm  0.997      0.419   0.419  0.419
42     256    256      1.00              0.41   32.0  mallstm  0.997      0.404   0.404  0.404
41     256    256      1.00              0.40   32.0  mallstm  0.997      0.413   0.413  0.413
40     256    256      1.00              0.39   32.0  mallstm  0.997      0.383   0.383  0.383
