Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,4529.109475844874,6685.153320343404,6685.153320343404,6685.153320343404,6685.153320343404,6685.153320343404,6685.153320343404,6685.153320343404,6685.153320343404,6685.153320343404
1,6653.73331300276,4570.30027601397,6653.73331300276,6653.73331300276,6653.73331300276,6653.73331300276,6653.73331300276,6653.73331300276,6653.73331300276,6637.083240415051
2,6715.9162511839395,6715.9162511839395,4575.436035991723,6715.9162511839395,6715.9162511839395,6715.9162511839395,6715.9162511839395,6715.9162511839395,6715.9162511839395,6709.584413769293
3,6694.27754715004,6694.27754715004,6694.27754715004,4568.795499680378,6694.27754715004,6694.27754715004,6694.27754715004,6694.27754715004,6694.27754715004,6686.955254266047
4,6673.7158121417915,6673.7158121417915,6673.7158121417915,6673.7158121417915,4526.942176235463,6673.7158121417915,6673.7158121417915,6673.7158121417915,6673.7158121417915,6666.847262191876
5,6647.695853907183,6647.695853907183,6647.695853907183,6647.695853907183,6647.695853907183,4527.7597951113485,6647.695853907183,6647.695853907183,6647.695853907183,6640.346854034697
6,6668.266805577955,6668.266805577955,6668.266805577955,6668.266805577955,6668.266805577955,6668.266805577955,4523.327782382189,6668.266805577955,6668.266805577955,6661.644201596303
7,6665.226050580418,6665.226050580418,6665.226050580418,6665.226050580418,6665.226050580418,6665.226050580418,6665.226050580418,4534.730975141543,6665.226050580418,6658.283413384427
8,6696.771258911061,6696.771258911061,6696.771258911061,6696.771258911061,6696.771258911061,6696.771258911061,6696.771258911061,6696.771258911061,4546.162288494444,6688.930860074172
9,6673.432945084925,6673.432945084925,6673.432945084925,6673.432945084925,6673.432945084925,6673.432945084925,6673.432945084925,6673.432945084925,6673.432945084925,4526.744677514075
