0,ground_truth,Corrupt,Shapely
a56ad00e4c3a73a466ddf94a60413955822861d335bb159723350d88b69f86a0,1,False,35428157.12926556
74edb5ec0583a6cf215edb3fc617c9587fe973f812436e467ec8607e49aac978,1,False,35427984.09107018
kei4pRX9ENQaKFsLcOU1,1,False,35425592.849205345
18AD5lV4StiZfN0pmdGj,1,False,35426929.77727361
0937576ac042e79668e2fcccc1659e9675ffac0348c5c59d6575f3884fe499e3,1,True,35421687.114542425
b86e79d422acaa9cae88fe6cb6414cb724818861b179353efb9bae475c4b9df7,1,False,35425831.44974466
1fMQAqC26xFJIgKpkrwS,1,False,35432599.64451458
909c9424d569e3b9dd8533259d394b1077962da6d43db6f0825abd93441a481a,1,False,35428499.949985616
i6HCJxaZV5cBzW1NUuof,1,False,35427168.6307869
Sourceforge_3487.exe,0,False,35429292.14214795
ikNI3YPuFznBR1ydWDK5,1,False,35424905.17911521
1944.exe,0,False,35428692.80191158
KakdO56B2GhiC3szw7TI,1,False,35427638.953633256
0e3de1806def011049d011b07a3a012cecce53cac8ff49f52ecf6db96aa0dcdc,0,False,35429304.08682286
2mNqMtbkL87il4gXBPHY,1,False,35427890.60629918
8603599b36d2cf87bde56861029963bd9b0a0390c626e3114ffe55354c6c51d4,1,False,35425880.40775366
aeNhGKA8io4HrFtDcq31,1,False,35429829.61161361
55602b4029b686a7580b578c217f2d3da2de553e8d41b8630276dd5bcf231ffe,1,False,35430726.43467932
AH3uZ7WMq6RoOyNn89kw,1,False,35430013.50736241
55d31ce16027c980ede272d4653075b8305ba5667bbf3e5ff11314697d54f25a,0,False,35435528.624178216
Sourceforge_695.exe,0,False,35428772.51263651
46bfd4f33a6612e9cc8ab508cb962baca5049e3c3cd96486194ae176bef87124,1,False,35426105.28159199
CNET_21417.exe,0,False,35429261.425847135
0b15ff1ece1fd2a2af05f5e89bc5270e7174a212ba29a5f1014006b2d75fe1f8,1,True,35421043.55910202
554b2c240fcf2a9319218ff128b0e0598555b348b1f8965aeebdd8f62c338ab8,1,False,35427979.10815901
AeZvV9subzRmODWTjrh0,1,False,35427377.517419174
b64eh1R89czkGnQIFA5K,1,False,35432969.60224779
1101.exe,0,False,35426081.65286559
